Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs
digits,6,6,1,2,R,109.39122
digits,6,6,1,3,R,112.207368
digits,6,6,2,1,I,120.060643
digits,6,6,2,2,I,117.283364
digits,6,6,2,3,I,118.785127
digits,6,6,2,1,Q,111.368287
digits,6,6,2,2,Q,114.223811
digits,6,6,2,3,Q,112.598914
digits,6,6,2,1,M,119.708017
digits,6,6,2,2,M,110.671565
digits,6,6,2,3,M,105.689598
digits,6,6,2,1,H,111.530729
digits,6,6,2,2,H,127.961054
digits,6,6,2,3,H,122.445509
digits,6,6,2,1,R,131.377878
digits,6,6,2,2,R,117.395045
digits,6,6,2,3,R,103.294385
digits,6,6,3,1,I,126.765695
digits,6,6,3,2,I,124.23886
digits,6,6,3,3,I,121.395132
digits,6,6,3,1,Q,121.706239
digits,6,6,3,2,Q,122.27978
digits,6,6,3,3,Q,118.780942
digits,6,6,3,1,M,121.221111
digits,6,6,3,2,M,117.836184
digits,6,6,3,3,M,121.194153
digits,6,6,3,1,H,125.614777
digits,6,6,3,2,H,112.7219
digits,6,6,3,3,H,109.769188
digits,6,6,3,1,R,101.213243
digits,6,6,3,2,R,109.897359
digits,6,6,3,3,R,110.503092
digits,6,6,4,1,I,120.220578
digits,6,6,4,2,I,126.657508
digits,6,6,4,3,I,125.229494
digits,6,6,4,1,Q,121.142569
digits,6,6,4,2,Q,112.851522
digits,6,6,4,3,Q,117.015813
digits,6,6,4,1,M,122.967916
digits,6,6,4,2,M,117.114819
digits,6,6,4,3,M,108.311327
digits,6,6,4,1,H,110.759589
digits,6,6,4,2,H,116.822699
digits,6,6,4,3,H,116.147485
digits,6,6,4,1,R,110.79686
digits,6,6,4,2,R,115.446275
digits,6,6,4,3,R,109.906983
digits,6,6,5,1,I,122.690902
digits,6,6,5,2,I,123.281541
digits,6,6,5,3,I,119.064306
digits,6,6,5,1,Q,108.832427
digits,6,6,5,2,Q,119.8742
digits,6,6,5,3,Q,102.839588
digits,6,6,5,1,M,114.214041
digits,6,6,5,2,M,108.589898
digits,6,6,5,3,M,110.414634
digits,6,6,5,1,H,113.0307
digits,6,6,5,2,H,111.206106
digits,6,6,5,3,H,102.304169
digits,6,6,5,1,R,110.771505
digits,6,6,5,2,R,109.965018
digits,6,6,5,3,R,113.058696
digits,6,6,6,1,I,120.859908
digits,6,6,6,2,I,117.992491
digits,6,6,6,3,I,121.040609
digits,6,6,6,1,Q,108.706418
digits,6,6,6,2,Q,112.146793
digits,6,6,6,3,Q,108.688138
digits,6,6,6,1,M,114.700706
digits,6,6,6,2,M,110.538683
digits,6,6,6,3,M,107.462635
digits,6,6,6,1,H,121.304502
digits,6,6,6,2,H,119.104845
digits,6,6,6,3,H,119.594103
digits,6,6,6,1,R,121.796125
digits,6,6,6,2,R,109.844267
digits,6,6,6,3,R,111.245865
digits,6,6,7,1,I,126.817106
digits,6,6,7,2,I,131.589357
digits,6,6,7,3,I,126.372379
digits,6,6,7,1,Q,109.456301
digits,6,6,7,2,Q,125.475138
digits,6,6,7,3,Q,110.571284
digits,6,6,7,1,M,119.642984
digits,6,6,7,2,M,113.095207
digits,6,6,7,3,M,114.134757
digits,6,6,7,1,H,113.735864
digits,6,6,7,2,H,109.68385
digits,6,6,7,3,H,114.383723
digits,6,6,7,1,R,113.736524
digits,6,6,7,2,R,112.044832
digits,6,6,7,3,R,110.593487
digits,6,6,8,1,I,126.051115
digits,6,6,8,2,I,121.867545
digits,6,6,8,3,I,136.099621
digits,6,6,8,1,Q,112.604322
digits,6,6,8,2,Q,114.219652
digits,6,6,8,3,Q,113.776165
digits,6,6,8,1,M,115.435955
digits,6,6,8,2,M,128.057899
digits,6,6,8,3,M,120.462948
digits,6,6,8,1,H,113.713348
digits,6,6,8,2,H,110.982062
digits,6,6,8,3,H,109.855087
digits,6,6,8,1,R,113.430514
digits,6,6,8,2,R,117.064398
digits,6,6,8,3,R,110.377013
digits,7,7,1,1,I,124.886028
digits,7,7,1,2,I,121.894164
digits,7,7,1,3,I,108.520644
digits,7,7,1,1,Q,113.383288
digits,7,7,1,2,Q,111.664474
digits,7,7,1,3,Q,115.599479
digits,7,7,1,1,M,109.376979
digits,7,7,1,2,M,113.01647
digits,7,7,1,3,M,113.301144
digits,7,7,1,1,H,115.683024
digits,7,7,1,2,H,113.125872
digits,7,7,1,3,H,110.968693
digits,7,7,1,1,R,119.960069
digits,7,7,1,2,R,103.845007
digits,7,7,1,3,R,114.189059
digits,7,7,2,1,I,112.719259
digits,7,7,2,2,I,124.244153
digits,7,7,2,3,I,133.883325
digits,7,7,2,1,Q,120.803427
digits,7,7,2,2,Q,111.179461
digits,7,7,2,3,Q,113.042461
digits,7,7,2,1,M,114.863377
digits,7,7,2,2,M,115.515834
digits,7,7,2,3,M,112.828163
digits,7,7,2,1,H,119.675209
digits,7,7,2,2,H,116.317579
digits,7,7,2,3,H,131.283993
digits,7,7,2,1,R,120.344087
digits,7,7,2,2,R,116.693487
digits,7,7,2,3,R,114.37051
digits,7,7,3,1,I,125.649686
digits,7,7,3,2,I,112.729204
digits,7,7,3,3,I,124.436717
digits,7,7,3,1,Q,118.140881
digits,7,7,3,2,Q,127.955979
digits,7,7,3,3,Q,119.737756
digits,7,7,3,1,M,111.363313
