Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs,TimedOut
digits,4,4,4,2,Q,136.744514,False
digits,4,4,4,3,Q,235.940928,False
digits,4,4,4,1,M,151.166383,False
digits,4,4,4,2,M,150.113914,False
digits,4,4,4,3,M,137.214595,False
digits,4,4,4,1,H,141.086657,False
digits,4,4,4,2,H,152.181977,False
digits,4,4,4,3,H,151.620991,False
digits,4,4,4,1,R,142.882805,False
digits,4,4,4,2,R,156.484833,False
digits,4,4,4,3,R,163.303812,False
digits,4,4,5,1,I,182.928409,False
digits,4,4,5,2,I,178.487136,False
digits,4,4,5,3,I,182.946714,False
digits,4,4,5,1,Q,135.42298,False
digits,4,4,5,2,Q,148.2874,False
digits,4,4,5,3,Q,132.363682,False
digits,4,4,5,1,M,153.279606,False
digits,4,4,5,2,M,186.671389,False
digits,4,4,5,3,M,147.963192,False
digits,4,4,5,1,H,136.205289,False
digits,4,4,5,2,H,148.695144,False
digits,4,4,5,3,H,132.747951,False
digits,4,4,5,1,R,156.518647,False
digits,4,4,5,2,R,138.836018,False
digits,4,4,5,3,R,289.020971,False
digits,4,4,6,1,I,171.471393,False
digits,4,4,6,2,I,166.178084,False
digits,4,4,6,3,I,165.23144,False
digits,4,4,6,1,Q,136.338934,False
digits,4,4,6,2,Q,132.93682,False
digits,4,4,6,3,Q,133.179386,False
digits,4,4,6,1,M,142.908344,False
digits,4,4,6,2,M,142.254686,False
digits,4,4,6,3,M,157.786524,False
digits,4,4,6,1,H,131.803015,False
digits,4,4,6,2,H,142.216345,False
digits,4,4,6,3,H,134.801068,False
digits,4,4,6,1,R,142.472949,False
digits,4,4,6,2,R,145.186295,False
digits,4,4,6,3,R,158.528172,False
digits,4,4,7,1,I,162.190524,False
digits,4,4,7,2,I,161.540099,False
digits,4,4,7,3,I,167.390968,False
digits,4,4,7,1,Q,134.896861,False
digits,4,4,7,2,Q,135.778093,False
digits,4,4,7,3,Q,129.788205,False
digits,4,4,7,1,M,122.487003,False
digits,4,4,7,2,M,139.716457,False
digits,4,4,7,3,M,155.762865,False
digits,4,4,7,1,H,141.997408,False
digits,4,4,7,2,H,134.930832,False
digits,4,4,7,3,H,150.663511,False
digits,4,4,7,1,R,141.118781,False
